Stage1:Round1:Google:50:50:-,
Stage2:Round1:Facebook:30:40:30,
Stage2:Round2:Amazon:-:50:50,
Stage3:Round1:Google:60:20:20,
Stage3:Round2:Facebook:30:35:35,
Stage3:Round3:Amazon:33:33:33,
Stage4:Round1:Google:50:-:50,
Stage5:Round1:Facebook:-:60:40,
Stage6:Round1:Amazon:33:33:33,
Stage7:Round1:Google:50:50:-,
Stage8:Round1:Facebook:33:33:33,
Stage9:Round1:Amazon:40:-:60,
Stage9:Round2:Google:33:33:33,
Stage10:Round1:Facebook:-:70:30,
Stage10:Round2:Amazon:45:-:55,
Stage11:Round1:Google:60:-:40,
Stage11:Round2:Facebook:-:55:45,
Stage11:Round3:Amazon:45:-:55,
Stage12:Round1:Google:50:-:50,
Stage13:Round1:Facebook:50:50:-,
Stage14:Round1:Amazon:33:33:33,
Stage15:Round1:Google:50:40:-,
Stage16:Round1:Facebook:-:50:50,
Stage17:Round1:Amazon:33:33:33,
Stage17:Round2:Google:60:40:-,
Stage17:Round3:Facebook:-:51:49,
Stage18:Round1:Amazon:33:33:33,
Stage19:Round1:Google:33:33:33,
Stage20:Round1:Facebook:50:50:-,
Stage21:Round1:Amazon:50:50:0,
